H,BRANCH,CITY,STATE,ZIP,PART NO,QTY, ,IVC NBR,DATE,COST,PRICE,RES.EXT,ACCT.,NAME,CUST PO#,SHIP DATE,SHIP NBR,COUNTRY CODE,ID,CURRENCY CODE,EXCHANGE RATE,ID,CURRENCY CODE,EXCHANGE DATE
L,WEB,CAMBRIDGE,MA,2138,SiT8008AI-23-33E-16.000000G,2, ,55920157,20200303,0.45,1.22,2.44,1943244,HARVARD UNIVERSITY,18492020,20200303,,US,BY,USD,1,SE,USD,20200303
L,WEB,TEMPE,AZ,85282,SIT9121AI-2B2-33E100.000000G,75, ,55921254,20200303,2.107,3.98,298.5,1621003,BOARD TECHNOLOGY,20024,20200303,,US,BY,USD,1,SE,USD,20200303
L,WEB,SAN FRANCISCO,CA,94103,SIT1552AI-JE-DCC-32.768E,13, ,55921501,20200303,0.851,1.72,22.36,1403022,Natural Person,12466 -10,20200303,,US,BY,USD,1,SE,USD,20200303
L,WEB,SUNNYVALE,CA,94086,SIT8924BA-73-18E-25.000000G,8, ,55925736,20200303,1.124,2.2,17.6,1696132,SIERRA CIRCUITS,140775,20200303,,US,BY,USD,1,SE,USD,20200303
L,TX,STEINACH,SG,9323,SIT1552AI-JF-DCC-32.768D,1000, ,55872295,20200303,0.784,1.08,1080,5697072,VARIOSYSTEMS AG,4500480322,20200303,,CH,BY,USD,1,SE,USD,20200303
L,WEB,KOWLOON,EX,0,SIT8008AI-33-33S-50.000000X,110, ,55893438,20200303,0.469,0.959,105.49,5923406,"HONG KONG WANLUTONG INTERNATIONAL LOGISTICS CO., LIMITED",PO214327,20200303,,HK,BY,USD,1,SE,USD,20200303
L,HK,"KWUN TONG,KOWLOON",EX,0,SIT2001BI-S2-33E-24.000000G,3, ,55895003,20200303,0.359,1.13,3.39,5933995,HK LIANCHUANG ELECTRONICS CO LTD(C),MOUSER20030204,20200303,,HK,BY,USD,1,SE,USD,20200303
L,WEB,NEWBURY,WB,RG14 5TU,SIT2024AA-S2-XXE-25.000000G,10, ,55903838,20200303,1.124,2.17,21.7,5155084,GARNER OSBORNE CIRCUITS LTD,PA43634,20200303,,GB,BY,USD,1,SE,USD,20200303
L,WEB,MOCA,PR,676,SIT1534AI-H4-DCC-04.096G,16, ,55906433,20200303,0.842,1.87,29.92,1A0C8D6,HONEYWELL AEROSPACE,7026833185-0010,20200303,,PR,BY,USD,1,SE,USD,20200303
L,WEB,GEUMCHEON-GU,EX,8504,SIT8008BI-23-33E-20.000000G,20, ,55907958,20200303,0.45,0.889,17.78,5075439,ELEPARTS(C),ELE20200303CYW-M2,20200303,,KR,BY,USD,1,SE,USD,20200303
L,WEB,NEW TAIPEI CITY,EX,220,SiT9365AC-1B2-33E156.250000G,15, ,55911347,20200303,3.96,7.713,115.695,5558885,RAMTEK TECHNOLOGY INC.,18486855,20200303,,TW,BY,USD,1,SE,USD,20200303
L,WEB,"GURO-GU, SEOUL",EX,8217,SIT9102AI-243N33E200.00000X,5, ,55911506,20200303,4.57,10.156,50.78,5170327,"AION SEMI CO.,LTD",AS200303-01,20200303,,KR,BY,USD,1,SE,USD,20200303
L,WEB,SEOUL,EX,8217,SiT9102AI-243N25E200.00000X,10, ,55912156,20200303,5.484,8.66,86.6,5216348,PURESEMI,18485590,20200303,,KR,BY,USD,1,SE,USD,20200303
L,WEB,STRAMBINO,TO,10019,SiT8008BC-12-33E-24.000000G,5, ,55937461,20200304,0.489,1.323,6.615,5785851,SEICA S.P.A. ALBERTO BERTONCIN,201716+201826+201840,20200304,,IT,BY,USD,1,SE,USD,20200304
L,TX,SAN JOSE,CA,95112,SIT1552AI-JE-DCC-32.768E,250, ,55942134,20200304,0.851,1.7,425,1744353,HON HAI/Q-EDGE CORP.,2001000,20200304,,US,BY,USD,1,SE,USD,20200304
L,CA,SANTA ANA,CA,92704,SIT9102AI-243N33E200.00000X,25, ,55886300,20200304,4.57,7.54,188.5,1000601,PARPRO TECHNOLOGIES INC.,156110,20200304,,US,BY,USD,1,SE,USD,20200304
